"";"product";"Item_code";"dietgroup";"SQ_g";"SQ_kcal";"SQ_prot";"SQ_fat";"DGErec_g";"DGErec_kcal";"DGErec_prot";"DGErec_fat";"kcal_data";"prot_data";"fat_data"
"112";"Butter. Ghee";"2740";"Milk";13,0203903394328;93,3561987337331;0,117183513054895;10,55953656528;14,3303290434409;102,748459241471;0,128972961390968;11,6218968542305;7,17;0,009;0,811
"113";"Eggs";"2744";"Meat, sausages, fish, eggs";30,7767393946865;42,7796677586143;3,29311111523146;3,01612046067928;11,8712294649936;16,5010089563411;1,27022155275431;1,16338048756937;1,39;0,107;0,098
"115";"Bovine Meat";"2731";"Meat, sausages, fish, eggs";30,7309394556216;46,0964091834324;5,68522379929;2,42774421699411;11,853563474482;17,780345211723;2,19290924277918;0,93643151448408;1,5;0,185;0,079
"116";"Mutton & Goat Meat";"2732";"Meat, sausages, fish, eggs";1,65774926947715;4,3598805787249;0,223796151379415;0,37796683344079;0,639428424207481;1,68169675566567;0,0863228372680099;0,145789680719306;2,63;0,135;0,228
"117";"Pigmeat";"2733";"Meat, sausages, fish, eggs";117,929694494607;384,450804052418;12,9722663944067;36,5582052933281;45,4879396458665;148,290683245525;5,00367336104532;14,1012612902186;3,26;0,11;0,31
"118";"Poultry Meat";"2734";"Meat, sausages, fish, eggs";42,6442657066697;52,026004162137;5,24524468192037;3,28360845941357;16,448781564477;20,0675135086619;2,02320013243067;1,26655618046473;1,22;0,123;0,077
"119";"Meat. Other";"2735";"Meat, sausages, fish, eggs";5,796130577846;7,30312452808596;0,950565414766744;0,34776783467076;2,23568829745996;2,81696725479955;0,366652880783433;0,134141297847598;1,26;0,164;0,06
"120";"Offals. Edible";"2736";"Meat, sausages, fish, eggs";1,73523261660797;1,82199424743836;0,319282801455866;0,0433808154151991;0,669315365176428;0,702781133435249;0,123154027192463;0,0167328841294107;1,05;0,184;0,025
"121";"Fats. Animals. Raw";"2737";"Meat, sausages, fish, eggs";18,0042304950424;152,495832293009;0,360084609900848;16,7439343603894;6,94460673063316;58,8208190084628;0,138892134612663;6,45848425948884;8,47;0,02;0,93
"123";"Meat Meal";"2749";"Meat, sausages, fish, eggs";0;0;0;0;0;0;0;0;2,42;0,206;0,169
"125";"Honey";"2745";"Alcohol, sugar and honey";2,5945414936688;7,88740614075316;0,00778362448100641;0;1,0428011596345;3,17011552528887;0,00312840347890349;0;3,04;0,003;0
"127";"Fish. Seafood";"2960";"Meat, sausages, fish, eggs";25,8049342865936;16,5151579434199;2,65790823151915;0,56770855430506;9,9535006719432;6,37024043004365;1,02521056921015;0,21897701478275;0,64;0,103;0,022
"131";"Sum";"NA";"NA";2110,27789061752;3173,58677109456;91,9440413105464;147,656790837253;2153,14506015658;2737,53634104991;88,8151970102333;100,896142936111;NA;NA;NA
